Municipality,single_2012,single_2016,condo_2012,condo_2016
ABINGTON,50,14,8,2
ACTON,30,13,17,8
AMESBURY,67,35,30,12
ANDOVER,46,12,14,11
ARLINGTON,33,1,25,4
ASHLAND,41,10,13,4
ATTLEBORO,166,104,12,5
AVON,16,8,0,0
AYER,36,9,5,3
BEDFORD,10,1,4,3
BELLINGHAM,56,32,1,3
BELMONT,1,0,16,1
BERLIN,8,4,0,0
BEVERLY,65,18,28,11
BILLERICA,118,40,9,3
BLACKSTONE,29,30,4,0
BOLTON,29,13,0,0
BOSTON,225,59,672,134
BOXBOROUGH,7,5,10,2
BOXFORD,14,4,0,0
BRAINTREE,59,14,38,9
BRIDGEWATER,70,26,13,3
BROCKTON,219,125,18,8
BROOKLINE,3,0,67,5
BURLINGTON,48,11,10,0
CAMBRIDGE,5,0,108,5
CANTON,39,10,24,4
CARLISLE,7,0,0,0
CARVER,54,28,0,2
CHELMSFORD,94,29,21,6
CHELSEA,17,1,48,11
CLINTON,51,22,8,7
COHASSET,15,1,6,1
CONCORD,12,2,4,1
DANVERS,47,11,20,5
DEDHAM,66,21,9,2
DOVER,1,0,0,0
DRACUT,89,38,16,13
DUNSTABLE,10,9,0,0
DUXBURY,29,9,3,1
EAST BRIDGEWATER,64,22,3,4
EASTON,77,25,5,2
ESSEX,15,11,0,0
EVERETT,37,20,13,4
FRAMINGHAM,122,33,34,4
FRANKLIN,70,31,11,2
GEORGETOWN,24,15,1,0
GLOUCESTER,57,20,12,13
GROTON,40,33,5,6
GROVELAND,25,8,1,0
HALIFAX,42,16,0,0
HAMILTON,17,4,0,6
HANOVER,38,14,1,7
HANSON,45,22,2,0
HARVARD,13,12,0,4
HAVERHILL,128,58,30,42
HINGHAM,36,13,10,0
HOLBROOK,52,15,2,0
HOLLISTON,40,24,1,0
HOPEDALE,19,7,2,4
HOPKINTON,35,16,0,0
HUDSON,65,21,14,6
HULL,43,36,14,9
IPSWICH,28,6,7,2
KINGSTON,66,39,4,0
LAKEVILLE,47,25,5,0
LANCASTER,44,14,1,0
LAWRENCE,69,27,9,3
LEXINGTON,14,1,7,0
LINCOLN,0,0,3,2
LITTLETON,39,17,2,3
LOWELL,144,71,50,32
LYNN,137,53,47,35
LYNNFIELD,28,2,0,0
MALDEN,43,7,29,10
MANCHESTER,3,0,2,0
MANSFIELD,58,14,24,6
MARBLEHEAD,36,6,20,8
MARLBOROUGH,76,37,10,9
MARSHFIELD,93,48,8,1
MAYNARD,55,18,4,0
MEDFIELD,11,4,4,2
MEDFORD,59,12,44,16
MEDWAY,43,21,5,6
MELROSE,43,7,15,6
MENDON,30,18,0,0
MERRIMAC,31,15,5,8
METHUEN,140,54,19,5
MIDDLETON,10,6,16,4
MILFORD,72,25,17,5
MILLIS,34,12,0,1
MILLVILLE,9,8,0,0
MILTON,35,4,5,2
NAHANT,8,6,1,1
NATICK,53,13,24,5
NEEDHAM,13,1,8,0
NEWBURY,21,10,3,0
NEWBURYPORT,44,22,26,13
NEWTON,15,2,54,5
NORFOLK,42,12,2,0
NORTH ANDOVER,53,14,33,5
NORTH READING,36,5,12,4
NORTHBOROUGH,50,23,6,12
NORTHBRIDGE,66,50,6,5
NORTON,47,30,5,2
NORWELL,24,14,4,0
NORWOOD,37,8,11,2
PEABODY,107,27,16,1
PEMBROKE,63,22,1,7
PEPPERELL,46,31,0,0
PLAINVILLE,31,11,2,3
PLYMOUTH,276,234,19,29
PLYMPTON,15,11,0,0
QUINCY,137,40,101,47
RANDOLPH,77,35,9,8
RAYNHAM,53,23,2,0
READING,53,5,20,13
REVERE,65,26,31,31
ROCKLAND,61,11,7,7
ROCKPORT,20,10,6,8
ROWLEY,17,8,4,2
SALEM,57,23,52,34
SALISBURY,25,22,16,6
SAUGUS,64,25,9,4
SCITUATE,60,28,6,3
SHARON,58,24,5,1
SHERBORN,2,3,0,0
SHIRLEY,33,23,1,0
SOMERVILLE,10,0,76,6
SOUTHBOROUGH,27,15,3,0
STONEHAM,39,7,23,5
STOUGHTON,73,23,10,8
STOW,23,10,4,2
SUDBURY,33,7,0,1
SWAMPSCOTT,29,8,14,5
TAUNTON,145,87,29,23
TEWKSBURY,80,26,14,6
TOPSFIELD,7,3,0,0
TYNGSBOROUGH,38,19,3,5
UPTON,30,18,0,6
UXBRIDGE,49,39,15,10
WAKEFIELD,42,11,16,3
WALPOLE,51,15,6,7
WALTHAM,37,12,43,6
WATERTOWN,14,2,31,6
WAYLAND,21,5,3,0
WELLESLEY,8,1,0,1
WENHAM,15,4,0,0
WEST BRIDGEWATER,29,14,0,0
WEST NEWBURY,18,4,1,0
WESTBOROUGH,39,9,9,4
WESTFORD,72,19,11,8
WESTON,1,0,3,0
WESTWOOD,23,5,0,0
WEYMOUTH,143,54,33,33
WHITMAN,36,23,1,1
WILMINGTON,53,12,1,3
WINCHESTER,5,0,7,4
WINTHROP,23,5,31,12
WOBURN,79,27,16,4
WRENTHAM,34,16,3,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
